;“емпература утром,температура днем,температура вечером,температура ночью,влажность утром,влажность днем,влажность вечером,влажность ночью,давление утром,давление днем,давление вечером,давление ночью,врем€
15,20,7,0,50,60,70,50,760,750,760,750,01.06.2014 г.,Kazan
15,25,9,2,60,60,80,70,760,780,730,750,02.06.2014 г.,Kazan
7,12,11,9,50,65,87,70,720,744,735,757,03.06.2014 г.,Kazan
-1,16,9,3,55,75,57,62,711,724,737,627,04.06.2014 г.,Kazan
0,12,14,5,75,75,55,22,611,754,737,647,05.06.2014 г.,Kazan
0,12,14,5,75,65,87,70,720,744,735,757,06.06.2014 г.,Kazan
7,12,11,5,75,75,55,22,611,780,730,750,07.06.2014 г.,Kazan
8,15,16,4,49,52,54,57,720,760,712,790,08.06.2014 г.,Kazan
10,12,15,10,50,60,50,80,760,750,770,760,09.06.2014 г.,Kazan
15,16,17,11,55,46,56,69,710,750,740,770,10.06.2014 г.,Kazan
21,25,18,15,50,51,52,50,720,720,730,720,11.06.2014 г.,Kazan
18,21,19,15,60,62,64,60,770,760,750,710,12.06.2014 г.,Kazan
0,12,14,5,75,65,87,70,720,744,735,757,13.06.2014 г.,Kazan
7,12,11,5,75,75,55,72,611,780,730,750,14.06.2014 г.,Kazan
8,15,16,4,49,52,55,72,611,754,737,647,15.06.2014 г.,Kazan
17,17,17,15,56,46,56,79,750,780,742,712,16.06.2014 г.,Kazan
15,16,18,12,60,65,64,60,760,760,760,752,27.06.2014 г.,Kazan
15,20,7,0,50,60,70,50,760,750,760,750,01.07.2014 г.,Tomsk
15,25,9,2,60,60,80,70,760,780,730,750,02.07.2014 г.,Tomsk
7,12,11,9,50,65,87,70,720,744,735,757,03.07.2014 г.,Tomsk
-1,16,9,3,55,75,57,62,711,724,737,627,04.07.2014 г.,Tomsk
0,12,14,5,75,75,55,22,611,754,737,647,05.07.2014 г.,Tomsk
0,12,14,5,75,65,87,70,720,744,735,757,06.07.2014 г.,Tomsk
7,12,11,5,75,75,55,22,611,780,730,750,07.07.2014 г.,Tomsk
8,15,16,4,49,52,54,57,720,760,712,790,08.07.2014 г.,Tomsk
10,12,15,10,50,60,50,80,760,750,770,760,09.07.2014 г.,Tomsk
15,16,17,11,55,46,56,69,710,750,740,770,10.07.2014 г.,Tomsk
21,25,18,15,50,51,52,50,720,720,730,720,11.07.2014 г.,Tomsk
18,21,19,15,60,62,64,60,770,760,750,710,12.07.2014 г.,Tomsk
0,12,14,5,75,65,87,70,720,744,735,757,13.07.2014 г.,Tomsk
7,12,11,5,75,75,55,72,611,780,730,750,14.07.2014 г.,Tomsk
8,15,16,4,49,52,55,72,611,754,737,647,15.07.2014 г.,Tomsk
17,17,17,15,56,46,56,79,750,780,742,712,16.07.2014 г.,Tomsk
15,16,18,12,60,65,64,60,760,760,760,752,27.07.2014 г.,Tomsk
15,16,17,11,55,46,56,69,710,750,740,770,10.08.2014 г.,Karagandy
21,25,18,15,50,51,52,50,720,720,730,720,11.08.2014 г.,Karagandy
18,21,19,15,60,62,64,60,770,760,750,710,12.08.2014 г.,Karagandy
0,12,14,5,75,65,87,70,720,744,735,757,13.08.2014 г.,Karagandy
7,12,11,5,75,75,55,72,611,780,730,750,14.08.2014 г.,Karagandy
8,15,16,4,49,52,55,72,611,754,737,647,15.08.2014 г.,Karagandy
17,17,17,15,56,46,56,79,750,780,742,712,16.08.2014 г.,Karagandy
15,16,18,12,60,65,64,60,760,760,760,752,27.08.2014 г.,Karagandy
